Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution_5,
Drug Reaction,Panchakarma Treatment from expert to remove toxins,"neem, turmeric, aloe vera gel, oatmeal bath for skin rashes",stop taking drugs,plant-based diet rich  in whole and unprocessed foods is recommended.,Apply coconut oil or mustard oil or Neel oil all over your body,
Malaria,Consult nearest hospital,avoid oily food and non veg food,consume herbs like neem and heart-leaved moonseed(guduchi),keep mosquitos out,"try sudarshan churna, Mahakalyanaka ghrita, guduchyadi kwatha, ayush 64 , Amrutaristha kalyanaka ghrita under doctor's guidance",
Allergy,"gargles, a decoction of salt water, a powder of trikatu (long pepper + black pepper+ ginger)","Avoid cold breeze and polluted air, and avoid exposure to air conditioners.",urmeric milk: One teaspoon of turmeric powder mixed with hot milk for a drink.,"Ginger tea, Cinnamon tea, Lemon tea, and Garlic tea ",Leaves of holy basil (Tulsi) mixed with an equal quantity of dried ginger powder. This can be taken by adding sugar to the drink.,
Hypothyroidism,"reduce stress, exercise, get proper sleep , healthy diet",consume adequate quantities of milk,"Consume a mixture of Indian gooseberry i.e. amla churna with honey, daily before breakfast. ",Drinking the juice acquired from jalakumbhi i.e. Pistia Stratiotes everyday in doses amounting from 11gm to 22gm increases the iodine content,"Ayurvedic herbs like kanchnar, Bauhinia variegata i.e. purple mountain ebony, Jatamansi, brahmi, guggulu, shilajit, gokshura, and punarnava under guidance of an expert",
Psoriasis,wash hands with warm soapy water,Panchakarma therapy from an expert,"apply aloe vera, neem, salt baths",chew raw garlic,"Herbs, Dietary & Lifestyle modification, Yoga, and Meditation",
GERD,avoid fatty spicy food,avoid lying down after eating,"maintain healthy weight, exercise",chew fennel seeds after meals for a better digestion process or simply drink fennel tea,"Consume a drink made with ghee, salt, and hot water",
Chronic cholestasis,cold baths,anti itch medicine,"milk thistle, guar gum, activated charcoal, SAM-e, vitamin K, vitamin D and calcium",eat healthy,consume Eugenia jambolana (Jamun fruit),
hepatitis A,deepana and pachana therapies from an expert,wash hands through,avoid fatty spicy food,"herbs like katuki, kalmegha, kumari, punarnava, kakamachi, guduchi under guidance of doctor",aarogyavardhini vati under guidance of doctor,
Osteoarthristis,Janu Basti or panchkarma therapy from an expert,"herbs like Boswellia serrata, turmeric, ashwagandha, Guggulu, Shankhapushpi, and Shallaki under guidance of a doctor",yoga and meditation,salt baths,avoid non-veg and processed foods,
(vertigo) Paroymsal  Positional Vertigo,consume fresh ginger or drink 1 teaspoon of ginger juice on empty stomach,drink a glass of water mixed with coriander powder  and gooseberry powder kept overnight,shankhapushpi,calamus or vacha tonic,meditation and yoga,
